mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__gb1__subsample,param_model__gb1__n_estimators,param_model__gb1__min_samples_split,param_model__gb1__min_samples_leaf,param_model__gb1__max_depth,param_model__gb1__learning_rate,param_model__dt1__min_samples_split,param_model__dt1__min_samples_leaf,param_model__dt1__max_features,param_model__dt1__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
36.207858641942344,0.8504970395360826,0.6108179092407227,0.1066867351250767,0.7777777777777778,18,6,3,6,0.45,3,7,log2,6,"{'model__gb1__subsample': 0.7777777777777778, 'model__gb1__n_estimators': 18, 'model__gb1__min_samples_split': 6, 'model__gb1__min_samples_leaf': 3, 'model__gb1__max_depth': 6, 'model__gb1__learning_rate': 0.45, 'model__dt1__min_samples_split': 3, 'model__dt1__min_samples_leaf': 7, 'model__dt1__max_features': 'log2', 'model__dt1__max_depth': 6}",0.8509550457982988,0.8392169587552307,0.8446263577849198,0.8449327874461497,0.004796950156826872,70
58.97737272580465,1.6693600718640436,0.6446635723114014,0.13123965630477805,0.8888888888888888,33,8,2,5,0.4,2,6,sqrt,2,"{'model__gb1__subsample': 0.8888888888888888, 'model__gb1__n_estimators': 33, 'model__gb1__min_samples_split': 8, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 5, 'model__gb1__learning_rate': 0.4, 'model__dt1__min_samples_split': 2, 'model__dt1__min_samples_leaf': 6, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 2}",0.8543876981462267,0.8553036834264927,0.8589825312751221,0.8562246376159472,0.0019856552797341367,31
47.19434833526611,0.3416630039623901,0.6236368815104166,0.0417758139288422,0.8611111111111112,26,7,2,5,0.4,3,7,sqrt,1,"{'model__gb1__subsample': 0.8611111111111112, 'model__gb1__n_estimators': 26, 'model__gb1__min_samples_split': 7, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 5, 'model__gb1__learning_rate': 0.4, 'model__dt1__min_samples_split': 3, 'model__dt1__min_samples_leaf': 7, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 1}",0.8493533492526839,0.8468876565270266,0.8509263550639488,0.8490557869478864,0.001662163040932234,55
34.31882166862488,1.3147293989297524,0.6147640546162924,0.07103906162186951,0.9166666666666666,22,4,2,4,0.2,5,4,sqrt,2,"{'model__gb1__subsample': 0.9166666666666666, 'model__gb1__n_estimators': 22, 'model__gb1__min_samples_split': 4, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 4, 'model__gb1__learning_rate': 0.2, 'model__dt1__min_samples_split': 5, 'model__dt1__min_samples_leaf': 4, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 2}",0.8227942541203962,0.8139536912413747,0.8267081302887747,0.8211520252168484,0.005334892418921272,130
25.23533336321513,0.6965137855445184,0.5360614458719889,0.026553859976731077,0.9722222222222222,15,10,3,4,0.1,1,4,sqrt,3,"{'model__gb1__subsample': 0.9722222222222222, 'model__gb1__n_estimators': 15, 'model__gb1__min_samples_split': 10, 'model__gb1__min_samples_leaf': 3, 'model__gb1__max_depth': 4, 'model__gb1__learning_rate': 0.1, 'model__dt1__min_samples_split': 1, 'model__dt1__min_samples_leaf': 4, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 3}",0.7715595215192554,0.7739525685018034,0.7733066316574411,0.7729395738928333,0.0010108468453363223,198
34.49025042851766,0.9891605028311998,0.6109468936920166,0.08268832300341859,0.8055555555555556,31,2,2,3,0.45,2,6,sqrt,2,"{'model__gb1__subsample': 0.8055555555555556, 'model__gb1__n_estimators': 31, 'model__gb1__min_samples_split': 2, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 3, 'model__gb1__learning_rate': 0.45, 'model__dt1__min_samples_split': 2, 'model__dt1__min_samples_leaf': 6, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 2}",0.8391227396576079,0.8341566530862186,0.8490489528012759,0.8407761151817007,0.00619114344142913,84
40.84086934725443,1.5596247844220945,0.6562159061431885,0.14007101876167097,0.9722222222222222,33,4,3,3,0.35000000000000003,5,7,log2,6,"{'model__gb1__subsample': 0.9722222222222222, 'model__gb1__n_estimators': 33, 'model__gb1__min_samples_split': 4, 'model__gb1__min_samples_leaf': 3, 'model__gb1__max_depth': 3, 'model__gb1__learning_rate': 0.35000000000000003, 'model__dt1__min_samples_split': 5, 'model__dt1__min_samples_leaf': 7, 'model__dt1__max_features': 'log2', 'model__dt1__max_depth': 6}",0.8383031479831218,0.8321320833499439,0.8428720772047076,0.8377691028459244,0.004400815845311212,89
121.76257181167603,1.3265519580313707,0.4802258809407552,0.026950611320692038,0.9722222222222222,44,4,2,8,0.3,5,7,log2,8,"{'model__gb1__subsample': 0.9722222222222222, 'model__gb1__n_estimators': 44, 'model__gb1__min_samples_split': 4, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 8, 'model__gb1__learning_rate': 0.3, 'model__dt1__min_samples_split': 5, 'model__dt1__min_samples_leaf': 7, 'model__dt1__max_features': 'log2', 'model__dt1__max_depth': 8}",0.8677863154593815,0.8632063643242902,0.8661420977891703,0.8657115925242808,0.0018943757436649437,3
17.84870521227519,0.3394784520486547,0.6059675216674805,0.06189889815674859,0.9444444444444444,17,3,5,2,0.2,1,7,sqrt,8,"{'model__gb1__subsample': 0.9444444444444444, 'model__gb1__n_estimators': 17, 'model__gb1__min_samples_split': 3, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 2, 'model__gb1__learning_rate': 0.2, 'model__dt1__min_samples_split': 1, 'model__dt1__min_samples_leaf': 7, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 8}",0.7717558696674005,0.7680842654919304,0.7755039966184024,0.7717813772592444,0.0030291462466307305,199
42.76743459701538,1.2428604492782336,0.6199328104654948,0.0766959459086841,1.0,26,3,1,4,0.4,1,10,sqrt,3,"{'model__gb1__subsample': 1.0, 'model__gb1__n_estimators': 26, 'model__gb1__min_samples_split': 3, 'model__gb1__min_samples_leaf': 1, 'model__gb1__max_depth': 4, 'model__gb1__learning_rate': 0.4, 'model__dt1__min_samples_split': 1, 'model__dt1__min_samples_leaf': 10, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 3}",0.8463506088521189,0.8410779086344911,0.8504769428434256,0.8459684867766786,0.003846641303404347,65
